CommitNumber,CommitName,Config
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,WITH_SERVER.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,HAVE_SELECT.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,HAVE_OPENSSL_BLOWFISH_H.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,HAVE_SYS_POLL_H.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,HAVE_LIBZ.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,OPENSSL_VERSION_NUMBER.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,WORDS_BIGENDIAN.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,HAVE_SYS_TIME_H.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,DEBUG_CRYPTO.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,HAVE_OPENSSL_AES_H.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,HAVE_GETHOSTBYNAME.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,HAVE_POLL.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,HAVE_GETHOSTBYADDR.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,HAVE_SSH1.1,BASE.1
0,c65f56aefa50a2e2a78a0e45564526ecc921d74f,__cplusplus.1,BASE.1
1,d40f16d48ec1ed9670c20ffaad1005c59a689484,HAVE_SSH1.2,BASE.2
1,d40f16d48ec1ed9670c20ffaad1005c59a689484,BASE.2
2,55846a4c7b09af2d105c7f7dfd0a43aab2f6e5a5,HAVE_GETHOSTBYNAME.2,BASE.3
2,55846a4c7b09af2d105c7f7dfd0a43aab2f6e5a5,WITH_SERVER.2,BASE.3
2,55846a4c7b09af2d105c7f7dfd0a43aab2f6e5a5,HAVE_GETHOSTBYADDR.2,BASE.3
2,55846a4c7b09af2d105c7f7dfd0a43aab2f6e5a5,BASE.3
3,636432e47593f145675e40e21bb8c8b6eb6ce8be,WITH_SERVER.3,BASE.4
3,636432e47593f145675e40e21bb8c8b6eb6ce8be,BASE.4
4,3113d8756628f463fda33b93801aee3c6ee9aa32,BASE.5
5,5c26ae735483d140f802d58b1872b2fe9468d219,HAVE_LIBZ.2,BASE.6
5,5c26ae735483d140f802d58b1872b2fe9468d219,DEBUG_CRYPTO.2,BASE.6
5,5c26ae735483d140f802d58b1872b2fe9468d219,BASE.6
6,96a99bab7853998ec8c23da6bcb9ffb10855705d,HAVE_GETHOSTBYNAME.3,BASE.7
6,96a99bab7853998ec8c23da6bcb9ffb10855705d,HAVE_GETHOSTBYADDR.3,BASE.7
6,96a99bab7853998ec8c23da6bcb9ffb10855705d,BASE.7
