CommitNr,configuration,runtime
0,WITH_SERVER.1ANDBASE.1,1935
0,HAVE_SELECT.1ANDBASE.1,1539
0,HAVE_OPENSSL_BLOWFISH_H.1ANDBASE.1,1694
0,HAVE_SYS_POLL_H.1ANDBASE.1,1417
0,HAVE_LIBZ.1ANDBASE.1,1566
0,OPENSSL_VERSION_NUMBER.1ANDBASE.1,1435
0,WORDS_BIGENDIAN.1ANDBASE.1,1326
0,HAVE_SYS_TIME_H.1ANDBASE.1,1373
0,DEBUG_CRYPTO.1ANDBASE.1,1842
0,HAVE_OPENSSL_AES_H.1ANDBASE.1,1455
0,BASE.1,1686
0,HAVE_GETHOSTBYNAME.1ANDBASE.1,1445
0,HAVE_POLL.1ANDBASE.1,1485
0,HAVE_GETHOSTBYADDR.1ANDBASE.1,1532
0,HAVE_SSH1.1ANDBASE.1,2728
0,__cplusplus.1ANDBASE.1,6909
1,HAVE_SSH1.2ANDBASE.2,7332
1,BASE.2,5576
2,HAVE_GETHOSTBYNAME.2ANDBASE.3,5836
2,WITH_SERVER.2ANDBASE.3,5869
2,HAVE_GETHOSTBYADDR.2ANDBASE.3,5820
2,BASE.3,5982
3,WITH_SERVER.3ANDBASE.4,5946
3,BASE.4,6365
4,BASE.5,6484
5,HAVE_LIBZ.2ANDBASE.6,10238
5,DEBUG_CRYPTO.2ANDBASE.6,10166
5,BASE.6,9445
6,HAVE_GETHOSTBYNAME.3ANDBASE.7,9849
6,HAVE_GETHOSTBYADDR.3ANDBASE.7,14122
6,BASE.7,14059
7,BASE.8,16069
8,HAVE_SSH1.3ANDBASE.9,19460
8,BASE.9,13704
9,HAVE_SSH1.4ANDBASE.10,14790
9,BASE.10,14140
10,BASE.11,14402
11,HAVE_PTY_H.1ANDBASE.12,15297
11,HAVE_STDINT_H.1ANDBASE.12,14723
11,HAVE_SSH1.5ANDBASE.12,15645
11,BASE.12,14999
11,DEBUG_CRYPTO.3ANDBASE.12,15338
12,BASE.13,15260
13,BASE.14,15745
14,BASE.15,15188
15,BASE.16,15413
16,BASE.17,15287
17,BASE.18,15396
18,BASE.19,16413
19,HAVE_SYS_TYPES_H.1ANDBASE.20,16410
