CommitNr,configuration,runtime
0,BASE.1,47
1,THERMISTORHEATER.1ANDBASE.2,1056
1,THERMISTORHEATER.1ANDTHERMISTORBED.1ANDBASE.2,725
1,PID_DEBUG.1ANDBASE.2,547
1,__AVR_ATmega32U4__.1ANDBASE.2,14093
1,HEATER_USES_THERMISTOR.1ANDBASE.2,2837
1,__AVR_ATmega328__.1ANDBASE.2,2714
1,F_OFLAG.1ANDBASE.2,5150
1,BASE.2,3728
1,__AVR_AT90USB1286__.1ANDBASE.2,10805
1,__AVR_ATmega644P__.1ANDBASE.2,8354
1,__AVR_AT90USB1287__.1ANDBASE.2,36350
1,BED_USES_THERMISTOR.1ANDBASE.2,37111
1,F_CPU.1ANDBASE.2,34019
1,WATCHPERIOD.1ANDBASE.2,38180
1,__AVR_ATmega2560__.1ANDBASE.2,20471
1,RAMPS_V_1_0.1ANDBASE.2,35149
1,ADVANCE.1ANDBASE.2,44158
1,PID_OPENLOOP.1ANDBASE.2,45698
1,__AVR_ATmega644__.1ANDBASE.2,30766
2,PID_DEBUG.2ANDBASE.3,31784
2,WATCHPERIOD.2ANDBASE.3,32626
2,ADVANCE.2ANDBASE.3,33945
2,PID_OPENLOOP.2ANDBASE.3,28669
2,BASE.3,28017
3,ADVANCE.3ANDBASE.4,31357
3,BASE.4,35091
4,BASE.5,28150
5,BASE.6,31119
6,BASE.7,28057
7,BASE.8,26728
8,BASE.9,34295
9,BASE.10,28125
10,BASE.11,37687
11,BASE.12,28694
12,PID_DEBUG.3ANDBASE.13,33453
12,BED_USES_AD595.1ANDBASE.13,29290
12,HEATER_USES_THERMISTOR.2ANDBASE.13,32246
12,THERMISTORHEATER.2ANDTHERMISTORBED.2ANDBASE.13,28093
12,NEWPANEL.1ANDBASE.13,31697
12,BASE.13,28949
12,__AVR_ATmega644P__.2ANDBASE.13,36731
12,SIMPLE_LCD.1ANDBASE.13,30703
12,BED_USES_THERMISTOR.2ANDBASE.13,33922
12,F_CPU.2ANDBASE.13,30146
12,DEBUG_STEPS.1ANDBASE.13,34878
12,ADVANCE.4ANDBASE.13,32447
12,ARDUINO.1ANDBASE.13,34711
13,THERMISTORHEATER_2.1ANDTHERMISTORBED.3ANDTHERMISTORHEATER_1.1ANDBASE.14,34529
13,HEATER_1_USES_THERMISTOR.1ANDBASE.14,35832
13,HEATER_USES_THERMISTOR_1.1ANDBASE.14,38913
13,THERMISTORHEATER_2.1ANDBASE.14,35301
13,THERMISTORHEATER_2.1ANDHEATER_2_USES_THERMISTOR.1ANDBASE.14,36273
13,BED_USES_THERMISTOR.3ANDBASE.14,36929
13,THERMISTORHEATER_1.1ANDBASE.14,37351
13,HEATER_1_USES_THERMISTOR.1ANDTHERMISTORHEATER_1.1ANDBASE.14,37444
13,BASE.14,36419
13,THERMISTORBED.3ANDBASE.14,35262
13,BED_USES_THERMISTOR.3ANDTHERMISTORBED.3ANDBASE.14,35672
14,BASE.15,36601
15,BASE.16,36767
16,THERMISTORHEATER_2.2ANDTHERMISTORBED.4ANDTHERMISTORHEATER_1.2ANDBASE.17,37871
16,SIMPLE_LCD.2ANDBASE.17,38221
16,BASE.17,35851
17,BASE.18,30217
18,HEATER_2_USES_AD595.1ANDBASE.19,32564
18,BED_USES_AD595.2ANDBASE.19,32338
18,BASE.19,31220
19,HEATER_2_USES_AD595.2ANDBASE.20,32539
19,BED_USES_AD595.3ANDBASE.20,31961
19,BASE.20,31694
20,BASE.21,31993
21,HEATER_0_USES_THERMISTOR.1ANDTHERMISTORHEATER_0.1ANDBASE.22,36588
21,HEATER_0_USES_THERMISTOR.1ANDBASE.22,35722
21,THERMISTORHEATER_2.3ANDBASE.22,36227
21,THERMISTORHEATER_2.3ANDHEATER_2_USES_THERMISTOR.2ANDBASE.22,36246
21,THERMISTORBED.5ANDBASE.22,37069
21,HEATER_1_MAXTEMP.1ANDBASE.22,38087
21,THERMISTORHEATER_1.3ANDBASE.22,43776
21,THERMISTORHEATER_0.1ANDBASE.22,43058
21,HEATER_1_MINTEMP.1ANDBASE.22,44482
21,BASE.22,45687
22,THERMISTORHEATER_0.2ANDTHERMISTORBED.6ANDTHERMISTORHEATER_1.4ANDBASE.23,44192
22,SIMPLE_LCD.3ANDBASE.23,46798
22,HEATER_1_MAXTEMP.2ANDBASE.23,41847
22,HEATER_1_MINTEMP.2ANDBASE.23,40236
22,BASE.23,48124
23,ADVANCE.5ANDBASE.24,43929
23,HEATER_1_MINTEMP.3ANDBASE.24,43561
23,BASE.24,49145
24,ADVANCE.6ANDBASE.25,43984
24,BASE.25,42804
25,WATCHPERIOD.3ANDBASE.26,51180
25,BASE.26,46278
26,RESET_MANUAL.1ANDBASE.27,46390
26,BASE.27,52852
27,RESET_MANUAL.2ANDBASE.28,47284
27,BASE.28,46437
28,RESET_MANUAL.3ANDBASE.29,55421
28,BASE.29,54505
29,PID_DEBUG.4ANDBASE.30,51861
29,HEATER_1_MAXTEMP.3ANDBASE.30,50872
29,HEATER_1_MINTEMP.4ANDBASE.30,59130
