fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
TCLSH.1andBASE.6\configure,true,1,0,0,1,1
TCLSH.1andBASE.6\configure.in,true,1,0,0,1,1
TCLSH.1andBASE.6\COPYRIGHT,true,1,0,0,1,1
TCLSH.1andBASE.6\doc,true,1,0,0,1,1
TCLSH.1andBASE.6\doc\lemon.html,true,860,0,0,860,860
TCLSH.1andBASE.6\Makefile.in,true,1,0,0,1,1
TCLSH.1andBASE.6\README,true,1,0,0,1,1
TCLSH.1andBASE.6\src,true,1,0,0,1,1
TCLSH.1andBASE.6\src\build.c,true,1434,0,0,1434,1434
TCLSH.1andBASE.6\src\dbbe.c,true,509,0,0,509,509
TCLSH.1andBASE.6\src\dbbe.h,true,118,0,0,118,118
TCLSH.1andBASE.6\src\main.c,true,218,0,0,218,218
TCLSH.1andBASE.6\src\parse.y,true,1,0,0,1,1
TCLSH.1andBASE.6\src\shell.c,true,386,0,0,386,386
TCLSH.1andBASE.6\src\sqlite.h,true,117,0,0,117,117
TCLSH.1andBASE.6\src\sqliteInt.h,true,234,0,0,234,234
TCLSH.1andBASE.6\src\tclsqlite.c,true,294,0,0,294,294
TCLSH.1andBASE.6\src\tokenize.c,true,374,0,0,374,374
TCLSH.1andBASE.6\src\util.c,true,448,0,0,448,448
TCLSH.1andBASE.6\src\vdbe.c,true,1972,0,0,1972,1972
TCLSH.1andBASE.6\src\vdbe.h,true,165,0,0,165,165
TCLSH.1andBASE.6\src\where.c,true,565,0,0,565,565
TCLSH.1andBASE.6\test,true,1,0,0,1,1
TCLSH.1andBASE.6\test\crttbl.test,true,1,0,0,1,1
TCLSH.1andBASE.6\test\tester.tcl,true,1,0,0,1,1
TCLSH.1andBASE.6\tool,true,1,0,0,1,1
TCLSH.1andBASE.6\tool\gdbmdump.c,true,89,0,0,89,89
TCLSH.1andBASE.6\tool\lemon.c,true,4020,0,0,4020,4020
TCLSH.1andBASE.6\tool\lempar.c,true,605,0,0,605,605
TCLSH.1andBASE.6\tool\opcodeDoc.awk,true,1,0,0,1,1
TCLSH.1andBASE.6\tool\opNames.awk,true,1,0,0,1,1
TCLSH.1andBASE.6\tool\renumberOps.awk,true,1,0,0,1,1
TCLSH.1andBASE.6\www,true,1,0,0,1,1
TCLSH.1andBASE.6\www\c_interface.tcl,true,1,0,0,1,1
TCLSH.1andBASE.6\www\index.tcl,true,1,0,0,1,1
TCLSH.1andBASE.6\www\sqlite.tcl,true,1,0,0,1,1
