fileName,matchFile,truepositiveLines,falsepositiveLines,falsenegativeLines,originaltotalLines,eccototalLines
WIN32.1andBASE.1\configure,true,1,0,0,1,1
WIN32.1andBASE.1\configure.in,true,1,0,0,1,1
WIN32.1andBASE.1\doc,true,1,0,0,1,1
WIN32.1andBASE.1\doc\lemon.html,true,860,0,0,860,860
WIN32.1andBASE.1\Makefile.in,true,1,0,0,1,1
WIN32.1andBASE.1\src,true,1,0,0,1,1
WIN32.1andBASE.1\src\build.c,true,1434,0,0,1434,1434
WIN32.1andBASE.1\src\dbbe.c,true,509,0,0,509,509
WIN32.1andBASE.1\src\dbbe.h,true,118,0,0,118,118
WIN32.1andBASE.1\src\main.c,true,218,0,0,218,218
WIN32.1andBASE.1\src\shell.c,true,383,0,0,383,383
WIN32.1andBASE.1\src\sqlite.h,true,117,0,0,117,117
WIN32.1andBASE.1\src\sqliteInt.h,true,234,0,0,234,234
WIN32.1andBASE.1\src\tclsqlite.c,true,240,0,0,240,240
WIN32.1andBASE.1\src\tokenize.c,true,374,0,0,374,374
WIN32.1andBASE.1\src\util.c,true,444,0,0,444,444
WIN32.1andBASE.1\src\vdbe.c,true,1972,0,0,1972,1972
WIN32.1andBASE.1\src\vdbe.h,true,165,0,0,165,165
WIN32.1andBASE.1\src\where.c,true,565,0,0,565,565
WIN32.1andBASE.1\tool,true,1,0,0,1,1
WIN32.1andBASE.1\tool\gdbmdump.c,true,89,0,0,89,89
WIN32.1andBASE.1\tool\lemon.c,true,4020,0,0,4020,4020
WIN32.1andBASE.1\tool\lempar.c,true,605,0,0,605,605
WIN32.1andBASE.1\tool\opcodeDoc.awk,true,1,0,0,1,1
WIN32.1andBASE.1\tool\opNames.awk,true,1,0,0,1,1
WIN32.1andBASE.1\tool\renumberOps.awk,true,1,0,0,1,1
