CommitNr,configuration,runtime
1,TEST_COMPARE.1ANDBASE.1,1357
1,YYERRORSYMBOL.1ANDBASE.1,2060
1,WIN32.1ANDBASE.1,22258
1,TEST.1ANDBASE.1,19516
1,NDEBUG.1ANDBASE.1,37596
1,BASE.1,21990
2,BASE.2,17160
3,BASE.3,18446
4,BASE.4,18573
5,BASE.5,18356
6,BASE.6,18687
6,TCLSH.1ANDBASE.6,19380
7,BASE.7,17458
8,BASE.8,18613
9,BASE.9,20945
10,BASE.10,18541
11,BASE.11,21693
12,BASE.12,21312
13,BASE.13,18719
14,BASE.14,22785
15,BASE.15,27837
16,BASE.16,29752
17,BASE.17,23328
18,BASE.18,27731
19,BASE.19,22946
20,BASE.20,44421
21,BASE.21,52825
22,BASE.22,48815
23,BASE.23,47602
24,BASE.24,50598
25,BASE.25,50946
26,BASE.26,47794
27,BASE.27,74937
28,BASE.28,74211
29,BASE.29,76415
30,BASE.30,77324
31,BASE.31,76217
32,BASE.32,75462
33,BASE.33,120001
34,BASE.34,169392
35,BASE.35,119994
36,BASE.36,147640
37,BASE.37,79420
38,BASE.38,106142
39,BASE.39,91525
40,BASE.40,92188
41,BASE.41,154964
42,BASE.42,94477
43,BASE.43,104550
44,BASE.44,91022
45,BASE.45,95273
46,BASE.46,92473
47,BASE.47,135915
48,BASE.48,96194
49,BASE.49,95702
